Fecha;Hora;Temperatura (ºC);pH;Turbiedad (NTU);"DQO 
(mg O2/L)"
06/11/2023;9:00;21.2;7.63;2.68;75
07/11/2023;9:00;21.9;7.65;5.13;90
08/11/2023;9:00;23.9;7.24;29.7;82
09/11/2023;9:00;24.4;7.64;3.68;77
13/11/2023;15:30;23;7.53;5.17;84
14/11/2023;9:00;23.2;7.34;4.49;79
15/11/2023;9:00;23.7;7.05;5.95;103
16/11/2023;10:30;24.6;7.26;3.4;101
17/11/2023;9:30;24.3;7.65;3.29;83
20/11/2023;9:00;24.2;7.43;5.51;75
21/11/2023;9:00;24.9;7.51;2.39;80
22/11/2023;9:00;23.6;7.5;1.71;78
23/11/2023;9:00;24.3;7.26;2.4;94
24/11/2023;9:00;23.9;7.36;1.18;73
27/11/2023;9:00;24.8;7.46;1.39;78
28/11/2023;9:00;25.8;7.28;1.98;83
29/11/2023;9:00;26.4;8.63;2.26;76
30/11/2023;8:45;26.8;7.45;2.34;82
01/12/2023;8:45;27.2;7.36;2.79;80
04/12/2023;9:00;24.4;7.61;4.81;88
05/12/2023;9:00;24.1;7.6;4.12;86
06/12/2023;9:00;24.9;7.59;4.02;67
07/12/2023;9:00;24.7;7.58;3.96;75
08/12/2023;9:00;24;7.79;2.18;73
11/12/2023;9:00;24.2;7.86;3.9;77
26/12/2023;9:00;24.6;7.77;2.82;82
27/12/2023;9:00;24.9;7.38;3.33;84
28/12/2023;9:00;25.5;7.36;2.96;81
29/12/2023;9:00;25.2;7.76;4.02;88
02/01/2024;9:00;24.4;7.58;3.47;156
03/01/2024;9:00;23.7;7.76;2.55;152
04/01/2024;9:00;24.9;7.63;2.77;143
05/01/2024;9:00;24;7.79;2.94;144
08/01/2024;9:10;26.5;7.37;2.41;127
09/01/2024;9:01;26.9;7.85;1.9;139
10/01/2024;8:50;27.7;8.04;2.76;113
11/01/2024;8:50;26.5;6.38;1.55;122
12/01/2024;9:10;25.6;7.37;1.24;134
15/01/2024;9:00;27.1;8.06;1.47;110
16/01/2024;9:01;26.2;8.1;2.53;104
17/01/2024;9:15;26.5;7.83;1.73;107
18/01/2024;9:10;26.8;8.26;1.5;95
19/01/2024;8:50;27.1;8.13;2.45;116
22/01/2024;9:00;25.9;8.4;2.48;88
23/01/2024;9:00;25.8;8.33;1.55;91
24/01/2024;9:00;25.9;8.3;1.59;88
25/01/2024;8:45;24.8;7.39;1.25;89
26/01/2024;9:30;26.2;7.03;2.54;95
29/01/2024;10:20;27.1;7.68;3.32;118
30/01/2024;9:00;27.8;7.06;4.47;128
31/01/2024;9:00;28.6;6.74;4.61;125
01/02/2024;9:00;29;6.74;7.08;146
02/02/2024;9:00;28.8;6.97;6.67;137
05/02/2024;9:50;26.1;6.82;3.25;124
06/02/2024;8:50;27.4;6.45;3.83;102
07/02/2024;9:50;28.5;6.46;3.15;103
08/02/2024;9:26;27.6;6.68;2.51;126
09/02/2024;9:00;27.4;6.73;2.91;110
12/02/2024;9:15;29.2;6.72;6.45;89
13/02/2024;9:20;27.1;6.63;3.87;117
14/02/2024;9:10;26.1;6.71;3.72;131
15/02/2024;9:00;26.1;6.57;2.7;136
16/02/2024;8:40;25.9;6.57;2.85;103
19/02/2024;9:00;25.9;6.66;2.85;114
20/02/2024;8:45;26.6;6.37;1.94;106
21/02/2024;8:45;26.7;6.5;2.74;106
22/02/2024;9:15;26.8;6.56;1.74;175
23/02/2024;12:07;28.2;6.58;2.13;163
26/02/2024;9:00;24.2;6.49;2.33;93
27/02/2024;9:15;24.6;6.53;2.09;91
28/02/2024;9:00;25.6;6.38;1.47;129
29/02/2024;9:00;26.6;6.44;3.45;102
01/03/2024;12:30;25.9;6.75;2.03;126
04/03/2024;9:30;25.1;6.19;2.63;132
05/03/2024;9:00;25.6;6.25;5.87;119
